# index, label, _pos
327,89,"array([17.01185334, 15.29898472])"
328,1109,"array([17.0182211 , 15.20435486])"
329,1589,"array([16.9592323 , 15.38811299])"
330,90,"array([18.36803541, 16.69379818])"
331,1110,"array([18.29880906, 16.7510752 ])"
332,1590,"array([18.45924119, 16.71115457])"
333,91,"array([17.34230245, 15.66222572])"
334,1111,"array([17.31511361, 15.75722223])"
335,1591,"array([17.42697826, 15.6247065 ])"
336,92,"array([19.71452246, 16.48151234])"
337,1112,"array([19.6288238 , 16.51601554])"
338,1592,"array([19.76810841, 16.54942945])"
339,93,"array([18.1270044 , 14.46922971])"
340,1113,"array([18.22987749, 14.46933421])"
341,1593,"array([18.05002908, 14.52760851])"
342,94,"array([17.30952945, 15.10246782])"
343,1114,"array([17.39579144, 15.04981764])"
344,1594,"array([17.23012358, 15.0712465 ])"
345,95,"array([17.22513773, 15.66556205])"
346,1115,"array([17.2572055 , 15.57030668])"
347,1595,"array([17.27255736, 15.74331069])"
348,96,"array([17.48983786, 15.33443094])"
349,1116,"array([17.55564485, 15.39427371])"
350,1596,"array([17.51392067, 15.24071233])"
351,97,"array([19.95575121, 15.2188678 ])"
352,1117,"array([20.02561052, 15.28584226])"
353,1597,"array([19.89049492, 15.26977041])"
354,98,"array([18.78096545, 15.71489193])"
355,1118,"array([18.86399   , 15.67269812])"
356,1598,"array([18.76538189, 15.80575206])"
357,99,"array([16.99199882, 15.50993514])"
358,1119,"array([16.93592948, 15.44911463])"
359,1599,"array([17.07326142, 15.45820847])"
360,100,"array([18.52697017, 16.18644318])"
361,1120,"array([18.61920593, 16.17441408])"
362,1600,"array([18.46261423, 16.12050799])"
363,101,"array([19.6472167 , 15.07186992])"
364,1121,"array([19.6641864, 15.168993 ])"
365,1601,"array([19.5675534 , 15.01079907])"
366,102,"array([19.43228838, 16.52435135])"
367,1122,"array([19.34689026, 16.5585834 ])"
368,1602,"array([19.45680972, 16.43205611])"
369,103,"array([19.24570944, 17.56150198])"
370,1123,"array([19.33703941, 17.54303517])"
371,1603,"array([19.22418478, 17.48947756])"
372,104,"array([18.68401992, 15.40024976])"
373,1124,"array([18.65746622, 15.31290685])"
374,1604,"array([18.77292292, 15.43991203])"
375,105,"array([17.72805315, 14.53040443])"
376,1125,"array([17.76824221, 14.60151974])"
377,1605,"array([17.63325317, 14.54184543])"
378,106,"array([18.18707936, 16.19390107])"
379,1126,"array([18.2103368 , 16.10486024])"
380,1606,"array([18.09941621, 16.22899442])"
381,107,"array([18.64704584, 15.16630363])"
382,1127,"array([18.55552831, 15.17631739])"
383,1607,"array([18.71259564, 15.22995095])"
384,108,"array([18.97143217, 15.17638094])"
385,1128,"array([18.95948509, 15.26282036])"
386,1608,"array([19.05115851, 15.15300046])"
387,109,"array([20.02739002, 16.0118167 ])"
388,1129,"array([20.09561591, 16.04786027])"
389,1609,"array([20.00078234, 15.91373866])"
390,110,"array([17.98408859, 14.17721548])"
391,1130,"array([17.91067708, 14.22708553])"
392,1610,"array([18.09175461, 14.15973706])"
393,111,"array([19.99454721, 14.9626962 ])"
394,1131,"array([19.94137359, 14.92299231])"
395,1611,"array([20.04545505, 15.05824899])"
396,112,"array([19.77429931, 15.89131564])"
397,1132,"array([19.79925243, 15.80051211])"
398,1612,"array([19.69052692, 15.89786321])"
399,113,"array([19.51829101, 14.74332731])"
400,1133,"array([19.43279163, 14.77154488])"
401,1613,"array([19.48735657, 14.65944716])"
402,114,"array([18.4927399, 14.8891175])"
403,1134,"array([18.43921872, 14.82027359])"
404,1614,"array([18.4573316 , 14.96863107])"
405,115,"array([19.71173272, 16.35101364])"
406,1135,"array([19.65624358, 16.27626582])"
407,1615,"array([19.79484069, 16.32375644])"
408,116,"array([19.69931389, 14.62834699])"
409,1136,"array([19.61296207, 14.5668383 ])"
410,1616,"array([19.7580327 , 14.67820381])"
411,117,"array([18.26648703, 14.23097367])"
412,1137,"array([18.34029426, 14.19144173])"
413,1617,"array([18.32536306, 14.29068698])"
414,118,"array([19.05638687, 14.88730559])"
415,1138,"array([19.13413349, 14.94339551])"
416,1618,"array([19.03193113, 14.79990659])"
417,119,"array([18.7395687 , 14.69375815])"
418,1139,"array([18.81162139, 14.64608298])"
419,1619,"array([18.64490956, 14.6848598 ])"
420,120,"array([18.9449143 , 14.75593658])"
421,1140,"array([18.90777502, 14.67546529])"
422,121,"array([19.83709369, 14.75395895])"
423,1141,"array([19.87230651, 14.83680778])"
424,122,"array([19.57216607, 14.64082078])"
425,1142,"array([19.53449411, 14.56664454])"
426,123,"array([18.16821947, 14.15203664])"
427,1143,"array([18.27463143, 14.14990146])"
428,124,"array([19.06160733, 15.06459414])"
429,1144,"array([19.14272124, 15.03741102])"
430,125,"array([18.5881919 , 14.75004169])"
431,1145,"array([18.48994569, 14.74608646])"
432,126,"array([18.25288105, 14.34198114])"
433,1146,"array([18.30364719, 14.41209138])"
434,127,"array([19.92517874, 15.89341809])"
435,1147,"array([19.88310593, 15.80490196])"
436,128,"array([17.73620821, 14.25808352])"
437,1148,"array([17.80578548, 14.26080961])"
438,129,"array([18.7817478 , 15.52824956])"
439,1149,"array([18.86423097, 15.5784272 ])"
440,130,"array([19.83717813, 16.40938398])"
441,1150,"array([19.92070563, 16.3920838 ])"
442,131,"array([18.22746662, 15.54204159])"
443,1151,"array([18.18694948, 15.45921296])"
444,132,"array([16.8327316, 15.6131677])"
445,1152,"array([16.86245052, 15.51391715])"
446,133,"array([19.54745394, 14.91712122])"
447,1153,"array([19.45911487, 14.8620676 ])"
448,134,"array([17.44554414, 15.18755322])"
449,1154,"array([17.46397741, 15.0959784 ])"
450,135,"array([18.36990276, 16.13875447])"
451,1155,"array([18.30200334, 16.07709639])"
452,136,"array([19.81696685, 15.19976808])"
453,1156,"array([19.7414946 , 15.23330891])"
454,137,"array([18.5219706 , 16.64549362])"
455,1157,"array([18.61582623, 16.65146344])"
456,138,"array([16.97055577, 15.48028843])"
457,1158,"array([16.93441813, 15.57401257])"
458,139,"array([18.80256822, 15.21532485])"
459,1159,"array([18.8704871 , 15.27847342])"
460,140,"array([18.51958466, 15.03196767])"
461,1160,"array([18.4869635 , 15.11335647])"
462,141,"array([20.06298817, 16.23118801])"
463,1161,"array([20.10725218, 16.15215131])"
464,142,"array([17.15796137, 15.13733714])"
465,1162,"array([17.08484846, 15.12055682])"
466,143,"array([20.03953237, 15.12775304])"
467,1163,"array([20.07235978, 15.22810836])"
468,144,"array([19.66371643, 15.98587145])"
469,1164,"array([19.57690315, 16.0033187 ])"
