# index, name, family, order, is_pollinator, _pos
240,Apocynum cannabinum,Apocynaceae,,0,"array([3.85726753, 0.76938147])"
241,Anthrax alternata,Bombyliidae,Diptera,1,"array([3.71988156, 0.52965223])"
242,Argynnis cybele,Nymphalidae,Lepidoptera,1,"array([4.0686216 , 0.37987068])"
243,Astatus unicolor,Larridae,Hymenoptera,1,"array([3.46508012, 0.69554361])"
244,Augochlora viridula,Halictidae,Hymenoptera,1,"array([4.14015444, 0.81887792])"
245,Bombylius atriceps,Bombyliidae,Diptera,1,"array([4.30556457, 0.70382829])"
246,Chelostomoides rufimanus,Megachilidae,Hymenoptera,1,"array([4.30131582, 0.23453053])"
247,Colletes aestivalis,Colletidae,Hymenoptera,1,"array([4.09966702, 1.12459313])"
248,Colletes productus,Colletidae,Hymenoptera,1,"array([3.04349793, 0.7442643 ])"
249,Compsomyia macellaria,Muscidae,Diptera,1,"array([3.73576963, 0.65923298])"
250,Helophilus laetus,Syrphidae,Diptera,1,"array([3.65941729, 0.57666899])"
251,Holonomada affabilis,Nomadidae,Hymenoptera,1,"array([4.26836758, 0.84601669])"
252,Lygaeus turcicus,Lygaeidae,Hemiptera,1,"array([3.88869317, 0.77162024])"
253,Lygus pratensis,Capsidae,Hemiptera,1,"array([3.92731347, 0.82752013])"
254,Macropis steironematis,Macropididae,Hymenoptera,1,"array([3.19591852, 0.61684115])"
255,Microstelis lateralis,Stelididae,Hymenoptera,1,"array([4.14151692, 0.79246421])"
256,Ocyptera tenuis,Tachinidae,Diptera,1,"array([3.90670112, 0.75647085])"
257,Phormia regina,Muscidae,Diptera,1,"array([3.96926219, 1.01165223])"
258,Sciara atrata,Mycetophilidae,Diptera,1,"array([3.69633533, 1.20890736])"
259,Thecla calanus,Lycaenidae,Lepidoptera,1,"array([3.65726876, 0.61183383])"
260,Trichius piger,Scarabaeidae,Coleoptera,1,"array([4.04096399, 0.75257351])"
261,Tropidia quadrata,Syrphidae,Diptera,1,"array([3.87215523, 0.74101375])"
262,Aquilegia canadensis,Ranunculaceae,,0,"array([ 5.00936709, -0.1258941 ])"
263,Arabis dentata,Cruciferae,,0,"array([4.35861458, 0.94043109])"
264,Andrena geranii,Andrenidae,Hymenoptera,1,"array([4.66848854, 0.84724415])"
