# index, label, _pos
268,789,"array([ 0.21920405, -1.99517013])"
269,1149,"array([ 0.16464493, -2.07369216])"
270,70,"array([ 0.32269536, -1.52997525])"
271,790,"array([ 0.27621116, -1.53551673])"
272,1150,"array([ 0.29543188, -1.56510815])"
273,71,"array([ 0.3536671 , -2.30896831])"
274,791,"array([ 0.32129887, -2.34761652])"
275,1151,"array([ 0.40600145, -2.31264471])"
276,72,"array([ 0.51145545, -2.91582906])"
277,792,"array([ 0.45701896, -2.92093404])"
278,1152,"array([ 0.54880053, -2.94553811])"
279,73,"array([-0.19189522, -2.00205745])"
280,793,"array([-0.19354009, -2.05626915])"
281,1153,"array([-0.15267273, -1.96084037])"
282,74,"array([ 0.09023831, -3.12144284])"
283,794,"array([ 0.03905475, -3.10974608])"
284,1154,"array([ 0.09844358, -3.08255934])"
285,75,"array([ 0.31853327, -2.64931406])"
286,795,"array([ 0.30146324, -2.69747767])"
287,1155,"array([ 0.28957463, -2.60611629])"
288,76,"array([-0.13909309, -1.81272538])"
289,796,"array([-0.092121  , -1.81815445])"
290,1156,"array([-0.12516261, -1.76565323])"
291,77,"array([ 0.54219057, -2.45411029])"
292,797,"array([ 0.52308058, -2.4064642 ])"
293,1157,"array([ 0.59284273, -2.46805478])"
294,78,"array([ 0.41729504, -3.20690755])"
295,798,"array([ 0.47716936, -3.19980254])"
296,1158,"array([ 0.37424085, -3.18741496])"
297,79,"array([-0.09472418, -2.54528194])"
298,799,"array([-0.07110735, -2.49961252])"
299,1159,"array([-0.07012517, -2.59428417])"
300,80,"array([-0.13714236, -2.72094011])"
301,800,"array([-0.08644274, -2.73415875])"
302,1160,"array([-0.15975864, -2.759495  ])"
303,81,"array([ 0.18780221, -1.80472615])"
304,801,"array([ 0.14673606, -1.78341704])"
305,1161,"array([ 0.24087907, -1.7907052 ])"
306,82,"array([ 0.1744747 , -3.18063495])"
307,802,"array([ 0.21075581, -3.1570845 ])"
308,1162,"array([ 0.11686906, -3.16583138])"
309,83,"array([-0.23347329, -1.79854416])"
310,803,"array([-0.18925424, -1.758831  ])"
311,1163,"array([-0.25222258, -1.84396679])"
312,84,"array([ 0.09922305, -2.09421716])"
313,804,"array([ 0.11257662, -2.14024369])"
314,1164,"array([ 0.04938597, -2.08727952])"
315,85,"array([ 0.59665555, -2.63917654])"
316,805,"array([ 0.63019254, -2.59714019])"
317,1165,"array([ 0.54670911, -2.63987218])"
318,86,"array([ 0.83013897, -1.89679116])"
319,806,"array([ 0.78070925, -1.87836049])"
320,1166,"array([ 0.86793781, -1.87161356])"
321,87,"array([-2.77061831e-04, -2.60037993e+00])"
322,807,"array([ 0.04761121, -2.61523522])"
323,1167,"array([-0.02309739, -2.55107974])"
324,88,"array([ 0.35542498, -2.47194662])"
325,808,"array([ 0.30336486, -2.47198411])"
326,1168,"array([ 0.3860628 , -2.43100838])"
327,89,"array([ 0.47911051, -1.55608735])"
328,809,"array([ 0.52211949, -1.5822171 ])"
329,1169,"array([ 0.41846773, -1.55589512])"
330,90,"array([ 0.18412118, -2.22859794])"
331,810,"array([ 0.13690902, -2.21131262])"
332,1170,"array([ 0.19936963, -2.27712108])"
333,91,"array([ 0.42122157, -1.63717017])"
334,811,"array([ 0.36280111, -1.64738773])"
335,1171,"array([ 0.46603531, -1.66644566])"
336,92,"array([ 0.45124506, -2.76092495])"
337,812,"array([ 0.42765598, -2.71832497])"
338,1172,"array([ 0.42155276, -2.79912462])"
339,93,"array([ 0.86329526, -2.20602836])"
340,813,"array([ 0.88474217, -2.25624151])"
341,1173,"array([ 0.81542735, -2.19356283])"
342,94,"array([ 0.70445705, -1.57356304])"
343,814,"array([ 0.75523727, -1.59994739])"
344,1174,"array([ 0.67640614, -1.57901311])"
345,95,"array([ 0.28034901, -2.06232147])"
346,815,"array([ 0.33177981, -2.06254909])"
347,1175,"array([ 0.2470405 , -2.10274587])"
348,96,"array([ 0.64065206, -1.65516368])"
349,816,"array([ 0.62600848, -1.69865051])"
350,1176,"array([ 0.69540368, -1.65964228])"
351,97,"array([ 0.9640795 , -2.97476727])"
352,817,"array([ 0.94564657, -3.01377504])"
353,1177,"array([ 0.91783132, -2.97862896])"
354,98,"array([ 0.47903597, -2.74680227])"
355,818,"array([ 0.52460016, -2.77374499])"
356,1178,"array([ 0.42769922, -2.76494208])"
357,99,"array([ 0.3411662 , -1.89194484])"
358,819,"array([ 0.36782949, -1.85243165])"
